DESCRIPTIONS,severity,severity_score
"Sale Invoice form on searching any field data data is not showing pls provide solution Tester - Vipin, Laima",,50
"Vendor Ageing Outstanding Invoice Report Pls Provide Credit days in report and credit days calculating on Party Invoice Date of supplier Bill, Tester - Vipin, Laima",,50
"For Example - GST/24-25/771 Print Preview pe full page aana chaiye print Tester - Vipin, Laima",,50
"As Per Discussed with Ram sir and Shashi sir, PFA and SPECIFICATION value 1 to 5 and length hona chaiye PCs se phle and also want Item Description  Tester - Laima, Vipin",,50
"Subject: Store Issue Alert    DateTime:  Issued to:    Item: [Material Name] Qty: [Approved Quantity] UoM:    Kindly focus on cost reduction.    * Implementation Whats app notification store issue   1. Create 2. Approved  Tester - Vipin, Laima",,50
"PFA Please change This GL Name, instead of AP, it will be AR Tester - Vipin, Laima",,35
"In Manual Knock Off pls add Party Invoice no. and Party Invoice date as per Purchase Invoice and Supplier of header part. Add in Knock off tab  after Doc TYpe Column and also add in Knock off pop up after Document Type. Tester - Vipin, Laima",,35
"PFA for exception list and resolve the exception Tester - Vipin, Laima",,80
"In Sales order Pls provide to add new item with Sales Quotation one Sales quotation is mandatory to add new item in Sales order and Based on Configuration and Item Selection Pop up want SGroup Field to select pop up Tester - Vipin, Laima",,35
"Reference Ticket - 2024657, Same as in Sales Order Amendment Against Sales order, Tester - Vipin, Laima",,50
 Item Selection Pop up want S-Group Field to select pop up in Bottom line,,50
If Discount is not given by Item then Discount Column and Taxable column is not showing  in Print Format of Sales Quotation,,50
If Discount is not given by Item then Discount Column and Taxable column is not showing  in Print Format of Sales Quotation Amendment,,50
If Discount is not given by Item then Discount Column and Taxable column is not showing  in Print Format of Sales Order,,50
If Discount is not given by Item then Discount Column and Taxable column is not showing  in Print Format of Sales Order Amendment,,50
Re-plan the checksheets which contains voucher ID 158 from  04-11-2024 to 30-11-2024. Rest of the checklist plan once in a month.,,50
"Supplier quotation - PQ-28 , PQ-29 pls change To date for few days forward because same day from date to date is similar that's why  generate PO is not showing in Supplier quotation comparison Tester - Vipin, Laima",,35
"In Store Issue With Requisition pls show SR number in Store issue print After Voucher type Tester - Vipin, Laima",,50
"Inspection - 201814194 pls change transaction status cancel to Cancel After Approval Tester - Vipin, Laima",,35
"In Supplier  Master Statutory detail tab column name - Terms & Condition Template no data show in pop because procedure is not available pls provide data. For Example  Supplier - Sanchay Tech Private Limited Tester - Vipin, Laima",,50
"Employee code - ST011,  Name - Shashi  Security Code - P104  User ID - Superadmin  Attendance is not working on this employee pls provide solution as soon as possible. Tester - Laima, Vipin",,90
"In Sales Enquiry Details Register report pls fix the report header because on scrolling report data header also scroll up in report pls fix it. Tester - Vipin, Laima",,50
"In SALES ENQUIRY SUMMARY report pls fix the report header because on scrolling report data header also scroll up in report pls fix it. Tester - Vipin, Laima",,50
"In Sales Enquiry Vs Sales Order Report report pls fix the report header because on scrolling report data header also scroll up in report pls fix it. Tester - Vipin, Laima",,50
Add Party Bill date & Party Bill No. in knock off tab.,,35
"In Supplier Quotation Comparison on generating po with Requisition no - 201813835, and in Supplier order form showing Supplier quotation no - PQ-51 and actual PQ-59 pls provide solution Tester - Vipin, Laima",,50
Add Party Invoice Date & Party Bill no. in knockoff tab.  ,,35
Add Party Bill Date & Party Bill No. in knockoff tab.,,35
Add party bill date& party Bill No. in knockoff tab.,,35
Add Party Bill Date & Party Bill No. in knockoff display.,,35
Add Party Bill Date & Party Bill No. in knockoff tab.,,35
Add Party Bill Date & Party Bill No. in knockoff tab. ,,35
"Employee Name- Amrish Kumar   Put employee code-72183.  Tester- Laima, Vipin",,50
"Asset code coming * by default instead from format master in case of Inspection.  Tester- Laima, vipin  ",,50
"In Inward note with delivery challan for job work se inward banane pe aur CAA karne par sent qty par impact nhi jata Inward - IN/24-25/2221   2. Supplier Order me tolerance lene par inward m impact nhi ja raha hai Tester - Vipin, Laima",,50
Improvement in T&C template as per discussed with ram sir i shared voice note to Swati and ankesh for improvement in T&C Template 1. Reference from item bom of Duplicate feature in T&C template   2. After approval provide edit button in T&C Template and edit only active/ Deactive button and cant remove the T&C line but user can add new line and also active and deactive the T&C line after approve 3. For improvement  pls find voice note i shared,,35
"PFA As per Discussed with Ram sir pls feed GL in KKM Tester - Laima, Vipin",,50
"In Supplier Quotation PR pop up showing multiple item PR and data not approved but in Supplier Quotation PR pop up data is showing Pls improve this Tester - Laima, Vipin",,50
"In Supplier Quotation Comparison on generating po and in supplier order showing different Supplier Quotation number pls resolve as soon as possible Tester - Laima, Vipin",,50
Pls give impact of Store Issue Return in the report. ,,50
Pls give impact of Store Issue Return in the report.,,50
Pls give impact of Store Issue Return in the report.,,50
Inward Data not showing.  Pls check,,50
GE no. 201822808  Status - NA showing instead of Cancel  ,,50
Kindly make all transactions in editable mode.,,50
"print me columns ka data shift hogya hai ,   FOR REF: DOC NO.PO/2425/1512  TESTER LAIMA, VIPIN ",,50
"INWARD HAS BEEN ALRAEDY , BUT PO NO. AGAIN SHOWING IN INWARD POPUP. ALSO NOT GETTING APPROVE .  PLS CHECL  DOC NO. PO/2425/1470",,50
IMPACT NHI PAD RA MRN KA  MRN NO. - 20186453,,50
supplier bill no. not showing impact on reports. pls check SBMRN/24-25/1405    ,,50
"IP/24-25/14736  This IP not getting CAA , pls check.",,50
"IP/24-25/14741  CAA NHI HORA PLS CHECK.  TESTER- LAIMA, VIPIN",,50
"T&C template edit karne ke baad , sales quotation me impact nhi aana chaiye .   jo get ke time pe vhi rhna   chaiye.  Tester laima, vipin",,50
"T&C template edit karne ke baad , sales order me impact nhi aana chaiye . jo get ke time pe vhi rhna chaiye. Tester laima, vipin ",,50
"T&C template edit karne ke baad , sales order me impact nhi aana chaiye . jo get ke time pe vhi rhna chaiye. Tester laima, vipin ",,50
"T&C template edit karne ke baad , sales quotation amendment  me impact nhi aana chaiye . jo get ke time pe vhi rhna chaiye. Tester laima, vipin ",,50
"T&C template edit karne ke baad , sales quotation amendment  me impact nhi aana chaiye . jo get ke time pe vhi rhna chaiye. Tester laima, vipin ",,50
"T&C template edit karne ke baad , sales orde me impact nhi aana chaiye . jo get ke time pe vhi rhna chaiye. Tester laima, vipin ",,50
"T&C template edit karne ke baad , sales order amendment me impact nhi aana chaiye . jo get ke time pe vhi rhna chaiye. Tester laima, vipin ",,50
"T&C template edit karne ke baad , Material Return to supplier me impact nhi aana chaiye . jo get ke time pe vhi rhna chaiye. Tester laima, vipin ",,50
"T&C template edit karne ke baad , Supplier Bill me impact nhi aana chaiye . jo get ke time pe vhi rhna chaiye. Tester laima, vipin ",,50
"T&C template edit karne ke baad , Supplier order  me impact nhi aana chaiye . jo get ke time pe vhi rhna chaiye. Tester laima, vipin ",,50
"T&C template edit karne ke baad , Supplier Order Amendment me impact nhi aana chaiye . jo get ke time pe vhi rhna chaiye. Tester laima, vipin ",,50
"T&C template edit karne ke baad , Supplier Quotation me impact nhi aana chaiye . jo get ke time pe vhi rhna chaiye. Tester laima, vipin ",,50
"T&C template edit karne ke baad ,form me  impact nhi aana chaiye . jo get ke time pe vhi rhna chaiye. Tester laima, vipin ",,50
"PFA   !st priority is first three points in the sheet.  & also consider ticket No. 2024687   Tester- Laima, vipin",,50
"In Supplier quotation , In Item Row Ship to is not working properly.  if there are two items , then ship to details getting copy in another item and also not getting edit.  pls check  Tester laima , vipin",,90
  securitycode:- P63  username:- sanchayhelp@gmail.com  password:- EMNQHzTD  es me supplier name SanchayTech  private limited hona chahiye,,50
"IN FORM SE , QTY IS NOTE GETTING EDIT.  PLS CHECK  TESTER- LAIMA, VIPIN  ",,50
SKU CODE- 30893  REPORT NHI SHOW KAR RAHI,,50
Not showing data on approval.  Transaction- DNSO/24-25/2375      ,,50
"T&C template edit karne ke baad ,form me impact nhi aana chaiye . jo get ke time pe vhi rhna chaiye. Tester laima, vipin ",,50
"T&C template edit karne ke baad ,form me impact nhi aana chaiye . jo get ke time pe vhi rhna chaiye. Tester laima, vipin ",,50
"T&C template edit karne ke baad ,form me impact nhi aana chaiye . jo get ke time pe vhi rhna chaiye. Tester laima, vipin ",,50
"NEED FILTER ( DOCUMENT NO. ) after document type.  tester- laima, vipin",,50
STORE REQUISITION- 201898605  STORE ISSUE NOT GETTING SAVE   PLS CHECK,,50
"PO - 201812409  This transaction is not showing in Po . Pls check   Tester- Laima, vipin",,50
Packaging list API for mobile App. & validate other API'S related to mobile.   ,,50
"Customer Ref No*   FIELD BY DEFAULT FILLED WITH (NA) and Sales Quotation Basis* by Default showing Sales Quotation Tester - Laima, Vipin",,50
"Ref No* FIELD BY DEFAULT FILLED WITH (NA) and Voucher* by Default showing SALE ORDER VS QUOTATION Tester - Laima, Vipin",,50
"PLS MAKE USER INTERFACE  FOR SAES QUOTATION AND SALES ORDER. TESTER - LAIMA, VIPIN",,50
"NEED FILTER ( DOCUMENT NO. ) after document type. tester- laima, vipin",,50
TRANSACTION ID: GE/24-25/2329  TRANSACTION STATUS SHOWING NA INSTEAD OF CANCEL .  PLS CORRECT.,,50
"TRANSACTION SAVE KARNE KE BAAD , LESS THAN ZERO PAR   ITEM ROWS INCREASE HORHI HAI ,   UPDATE HONE KE BAAD ...   ",,35
We have some requirements in Control Plan.  I am attaching the excel of requirements.    If any issue kindly let me know.  ,,50
"We have requirement in delivery scheulde form.  I am attaching the excel of requirement with you.    If you have any issue , kindly le me know",,50
We have requirement in create ticket form.  I am attaching the excel of requirement with you.    If you have any query kindly let me know.,,50
We have requirement in Create course and course master of LMS module  I am attaching the excel of requirement with you.    If you have any query kindly let me know.,,50
"challan no. 2368504414 , 2268501703 , 2268501870 , 2268501567   Pls add these challans.  ",,35
"We have requirement in Create course , course master, Course Content of LMS module I am attaching the excel of requirement with you. If you have any query kindly let me know.",,50
In Doc NO. BPV/24-25/1092  There is difference in Doc Amount and Balane knock off amount .   pls check.  I am also attaching file ,,50
"Item proddution No.   2018104206,2018104205  Not showing impact on report . Pls check",,50
We have requirement in Process master.  I am attaching the excel for requirements.    If you have any query kindly let me know.,,50
ITEM PRODUCTION NOT GETING SAVE DUE TO SPACE IN BATCH . PLS REMOVE ,,50
DATA FILTER ISSUE .  PLS RESOLVE ,,50
PLS STOP FORWARD DATE ENTRIES .  ,,50
PLS PROVIDE POPUP IN USAGE MASTER .  (CODE& NAME FROM USAGE MASTER ),,50
Supplier Bill : SBMRN/24-25/1889   This bill showing  more than one time in report.   pls check  ,,50
"MRN - 201814274 is not Getting approved error msg - Duplicate Asset Not Create in Asset Master ? tester - Vipin, Laima",,80
In Sanchay Tech we want New internet Connection    Description - Plan Speed minimum 100 MBPS and plan only monthly wise and Quarterly wise not yearly wise. ,,50
"Pls Add 2 field name in sale invoice in general detail anywhere in right side  Field name - 1. Container no  2. Seal no and input Numerical and Alphabet. Tester - Vipin, Laima",,35
"Pls Find Attachment for sale invoice print for add Container no. and Seal no. in sale invoice print Tester - Vipin, Laima",,35
"GL Trail Hierarchy pls make report as Drill down type. Tester - Laima, Vipin ",,90
"Supplier Order - PO/2425/1561 is used  totally in Inward Note but Voucher Status showing Open. Pls resolve as soon as possible Tester - Vipin, Laima",,50
We have some new requirements in Checklist in DMS module for that I am attaching excel with you.  Kindly let me know if there is any confusion.,,50
"1. Add some fields in Create Course Master :  Rev. No : (Numerical)0-1000  Rev. Date : (Calendar)  Eff. Date : (Calendar)  Responsibility : (Text)  2. Add dropdown of voucher type in create course with following items: (i) Course , (ii) Process ,(iii) Instructions , (iv) Policy  ",,90
"Item Gate in out update attachment update successfully bt not showing on approval time pls resolve as soon as possible Transaction - GE/24-25/2373   Tester - Vipin, Laima",,35
"1.PO Vs GE Vs IN Vs INSPECTION Vs MRN Vs PI pls change report name to PURCHASE FMS.  2. After Search Dashboard want one field Current Pending Process. Tester - Vipin, Laima",,35
"Sales Enquiry Vs Sales Order Report rename to Sales Enquiry FMS1 Tester - Vipin, Laima",,50
"Sales Enquiry Details Register rename to Sales Enquiry FMS2 Tester - Vipin, Laima",,50
"SO Details Register Report rename to Sales Order FMS Tester - Vipin, Laima",,50
"Module Name - Dashboard rename to MIS and rename reports shift to in MIS report   1. Purchase FMS  2. Sales Enquiry FMS1  3. Sales Enquiry FMS2  4. Sales Order FMS  Tester - Vipin, Laima",,50
"My Task - Column name -   1. Type  2. Ticket no  3. Description  4. From Date  5. To Date  6. Process   And Type like - welcome page ke my dashboard pe dikhna chaiye  * Support  * Maintenance   * Audit  Tester - Vipin,  Laima",,50
"1. Sales Quotation me Duplicate item le sakte hai   2. Sales Quotation Material pop up me Sgroup by Default Finish Good aana chaiye but user can change it Tester - Vipin, Laima",,35
"Sales Quotation amendment me duplicate item le sakte hai same as in sales quotation Tester - Vipin, laima",,50
"All forms Mandatory field should be marks as * and also as Dynamic  Tester - Vipin, Laima",,50
"Sales Quotation Add new action Column in Dashboard Label name - (Send for Customer Approval) on clicking this icon Transaction open and only visible Close and Send for Customer Approval Button. Tester - Vipin, Laima",,35
Please provide complete jobwork ka data in Vendor Outward Report. And also add Vendor challan number and Document Number. pls find the attachment for reference report.,,35
"Sales Quotation Amendment Add new action column in Dashboard Label name - Send for Customer Approval on Clicking this icon transaction open and only show close and Send for  Customer Approval button Tester - Vipin, Laima",,35
"Sgroup name - Not Applicable 1 rename this sgroup to Service non Inventory Tester - Vipin, Laima",,50
"Delivery note Against Sales order me jo item service not inventory sgroup ke honge unka stock impact nhi hoga Tester - Vipin, laima",,50
"Mobile app me sales quotation se jo quotation send for customer approval ke liye aayega use customer mobile app pe for example print ke view ki tarah khulega aur customer use approve karega Tester - Vipin, laima",,50
"Ticket - 2024733, Pls change this ticket number Plan time - 91 and Complete date - 12/12/2024 tester - vipin, laima",,35
STORE ISSUE DOES  NOT GETTING APPROVE .  SS ATTACHED.   PLS RESOLVE ASAP.,,50
"Pls PFA for change Designation master Transaction status approved to Created tester - Vipin, laima",,35
"Item master me jo bhi new item banega to Batch format me ek checkbox hai ( Use Batch from Consumption Item) ye always checked rahega Tester - Vipin, Laima",,50
"Pls Create new report, Report name - JW Outward PFA for Report Data Tester - Vipin, Laima",,50
"Employee Master me Active filter se search karne par kuch kuch deactive employee bhi dikhte export to excel karne par bhi Tester - Vipin, laima ",,50
"RATE IS COMING BY DEFAULT FROM CUSTOMER WISE PRICELIST  PLS CHECK '& SHIP TO DETAILS SHOULD BE COPY IN ALL ITEM ROW, AND USER CAN CHANGE IT .  TESTER- LAIMA, VIPIN",,35
"Pls Unapproved all Designation Master in Sanchay tech Tester - Vipin, Laima",,50
"Pls Unapproved all post level in Sanchay tech Tester - Vipin, Laima",,50
"Pls Fine the Attachment for data feed in Course Content Contact - Usha Tiwari  Tester - Vipin, Laima",,50
"Vouchers Master me jis voucher ko is active aur is default checked rakhenge wo by Default voucher aa jana chaiye form m aur jo deactive hai but is default checked hai wo nhi aana chaiyeTester - Vipin, laima",,50
"Vouchers Master me jis voucher ko is active aur is default checked rakhenge wo by Default voucher aa jana chaiye form m aur jo deactive hai but is default checked hai wo nhi aana chaiye For example Sales Order Voucher Tester - Vipin, laima",,50
"Pls Unapproved this designation - Account Sr Executive code - . Tester - Vipin, Laima",,50
" Delivery Note Against Sales Order  me Duplicate item le sakte hai  Tester - Vipin, Laima ",,50
"(Sales  Success Rate Report) this report dashboard view look like funnel type Tester - Vipin, Laima",,50
"In Search Dashboard Want Search Field Status drop down type and in Drop Down list name - 1. Created 2. Approved 3. Created & Approval Data show by default Approved but user change it Tester - Vipin, Laima",,90
"In Item Production Production tab Add field name - Brand Name and the fields data came through from Brand Master on clicking Space same as in By Product Tab Tester - Vipin, Laima",,35
"1. Print ke header pe Brand name rahega jo ki transaction ke time pe jo brand selected hoga wo aayega. 2. ISO Code and Licence Number Right Side me rahega. 3. According to attachment label name  rahega.  (Remarks - Take Template from BSMA Don't Change any Height Width, Existing coming data proper validate QR Code) Tester - Vipin, Laima",,35
"Pls Make New  Master - Brand Master  Tester - Vipin, Laima",,50
"PFA for changes of Pine Users and 2 employees permanently deleted Correct Data in Sheet   Tester - Vipin, Laima",,35
"Item SKU - 326625,  HSN Code - 8466 pls update this HSN in this sku Tester - Vipin, Laima",,35
"Urgent In Item Master Update button is not working on this Sku - 326625, Pls resolve as soon as Possible Tester - Vipin, Laima",,90
"SKU - 326625, Item master me jo column hai opening stock hide hai front end pe so pls change in backend opening stock - 1 to 0 only in item master Tester - Vipin, Laima",,35
"COLOUR CHANGE OF TITLE FROM BLACK TO WHITE .  TESTER- LAIMA, VIPIN",,35
"1. LOADER CHLNA CHAIYE EDIT BUTTON PE CLICK KARKE.  2. RESPONSIBILITY BOX ME TEXT AREA ADD KARNA HAI.  3. TIME DURATION ME 00:00 PUT KARTE HAI TOH SHOW NHI KARTA HAI DASBOARD PE.  TESTER- LAIMA, VIPIN",,35
"DO ADD DOC NO. COLUMN .  TESTER - LAIMA, VIPIN",,35
"In Batch Wise Stock 1 Data is not showing according to Date wise SKU wise All wise for checking SKU - JF23MY08  Tester - Vipin, Laima",,50
"Physical Stock Execute ID - PHY/24-25/502, on posting this id there is a msg - This record is already exist in PHY/24-25/511 but in dashboard there is no PHY/24-25/511 pls resolve as soon as possible Tester - Vipin, Laima",,50
"Packaging list report me kuch hi packaging list ka data dikh raha hai aur kuch ka nhi (LOT NO.31,126 NORD TOKYO) is list no. ka data nhi dikh raha Tester - Vipin, laima",,50
"Ticket - 2024726 pls change status close to resolve Tester - Vipin, Laima",,35
Please enable Sub Ledger Flag in General Ledger master (E065),,50
"EMP Item Relationship SR NO - 2018155, S-Group - Consumables on clicking get data but data is not showing pls resolves as soon as possible Tester - Vipin, Laima",,50
"Item production is not getting save error msg - Consumable Stock not found, but stock is available.  Data - WC Code - A0806/07, Store - Hammer Forging Section, PP - 20186969, 20185313 choose any one ok Qty - 315 consume qty 315 Tester - Vipin, laima",,80
"1.Jo company master me address hai - is shipping & default shipping , vahi auto pick karega - materail row ke ship to button me with quantity   { if there is more than one default address, then user manual selects in ship to}  2. PR Qty roundoff ho ke aarhi hai Item row me ( same qty aani chaiye jo PR me hai)",,35
"1.Jo company master me address hai - is shipping & default shipping , vahi auto pick karega - materail row ke ship to button me with quantity { if there is more than one default address, then user manual selects in ship to} .  2. Ship To me Qty roundoff horhi hai after save .   Pls resolve ",,35
"1.Jo company master me address hai - is shipping & default shipping , vahi auto pick karega - materail row ke ship to button me with quantity { if there is more than one default address, then user manual selects in ship to} ",,35
"SR - 201899233 issue to employee - chandarpal,  Store issue is not getting saved. pls resolve as soon as possible Tester - Vipin, Laima",,50
ADD COLUMN ACCOUNT GROUP CODE BEFORE ACCOUNT GROUP NAME .,,35
Please Update given items unit name in item master and also deactivate privious Unit in Unit Master.,,35
"Pls Modify Issue register report in Pivot type and also add S group filter in search dashboard and add some new column in report PFA for data. Tester - Vipin, Laima",,35
"Sale invoice - SI/24-25/638 ,   SKU - JY69AP16 is not showing in Inventory reports only showing one line of MRN Tester - Vipin, laima",,50
"Loader should work on edit button.  Tester - laima, vipin",,50
AS DICUSSED WITH SHASHI SIR   1. Make Item popup and bom non mandatory . 2.Make inspection tab applicable yes/no accordingly.   3.Hold data on search panel according to search filters. ,,50
"PLS REMOVE PERMISSION OF PURCHASE MODULE FOR EMPLOYEE CODE - 72098  TESTER - VIPIN, LAIMA",,50
"Pls Fine the Attachment for data feed in Course Content Content.  Tester - laima, vipin",,50
https://docs.google.com/spreadsheets/d/1DTHy4O-2IumQfk6FXTGMKM2CFGwfCVmw/edit?usp=sharing&ouid=112863349863108307429&rtpof=true&sd=true,,50
"SR/24-25/15, Sales Return - SR print is not showing proper pls fix itTester - Vipin, Laima",,50
https://docs.google.com/spreadsheets/d/1KAAmeLXkcQ5a4IHlSn-xLRevRvkv6BGI/edit?gid=1334050657#gid=1334050657,,50
https://docs.google.com/spreadsheets/d/1MaHK7FzJOVihqYGow92BkYHOfQTGqdd7/edit?gid=464411234#gid=464411234,,50
https://docs.google.com/spreadsheets/d/19IHFE97ZmOa-wJOkrqJqLV9_sz_NGjyu/edit?gid=477151428#gid=477151428,,50
https://docs.google.com/spreadsheets/d/172-gWtFyE0wqko9fvy75ph7_bw36A_Ja/edit?gid=1898361865#gid=1898361865,,50
https://docs.google.com/spreadsheets/d/1Je_QvZKS8EqVQ8uJ_NZhlgAIcKKov44j/edit?gid=1680025079#gid=1680025079,,50
"IN COURSE CONTENT , CONTENT NOT UPLOADED ALERT COMING ON SAVE .   (LIKE PRESENTATION, IMAGE , AUDIO, VIDEO ETC.)  PLS RESOLVE ASAP  TESTER - LAIMA, VIPIN  ",,50
"Item Code - 303858, In stock Ledger report 2 on clicking Check Box of Batch Code and data is not showing Tester - Vipin, Laima",,50
"PO/2425/1759 in print Material Tab HSN Sac showing 8 But GST Calculation tab HAN - 7318 pls update on Material tab print HSN - 7318 Tester - Vipin, Laima",,35
"WHILE CREATING ITEM PRODUCTION , BATCH QTY GETTING COPY IN FIRST ROW .  ALERT MSG COMING - CONSUMABLE QTY NOT FOUND ",,50
Add Atrributes and Description    https://docs.google.com/spreadsheets/d/1saSrV2w0itVI2gIz58bflKACEEkHHKHQ/edit?usp=drive_link&ouid=114662850596974252574&rtpof=true&sd=true,,35
URL:erp.sanchay.org  SECURITY CODE: KkmAc  Username-superadmin,,50
Add Atrributes and Description  https://docs.google.com/spreadsheets/d/1Zxvrk3UWDwR4fucz-UWV2eFXvD4l1q-d/edit?usp=sharing&ouid=114662850596974252574&rtpof=true&sd=true,,35
Add Atrributes and Description  https://docs.google.com/spreadsheets/d/15dY_Vf284O673mi_eWk4qjVSw35No4C2/edit?usp=sharing&ouid=114662850596974252574&rtpof=true&sd=true,,35
"ITEM MASTER PR SEARCH ALL PE DATA NHI ARAH .   PROVIDE DATA IN EXCEL FIRST .  TESTER - VIPIN , LAIMA",,50
Add Atrributes and Description    https://docs.google.com/spreadsheets/d/1AP--imYhr59cQEdlsl_qhqoW4P8OS4do/edit?usp=sharing&ouid=114662850596974252574&rtpof=true&sd=true,,35
"PLs remove permission of HRMS for Employee code - 72144 in Paras Exporters Security Code - PIP Tester - Vipin, Laima",,50
Add Atrributes and Description  https://docs.google.com/spreadsheets/d/1Zxvrk3UWDwR4fucz-UWV2eFXvD4l1q-d/edit?usp=sharing&ouid=114662850596974252574&rtpof=true&sd=true,,35
Add Atrributes and Description  https://docs.google.com/spreadsheets/d/15dY_Vf284O673mi_eWk4qjVSw35No4C2/edit?usp=sharing&ouid=114662850596974252574&rtpof=true&sd=true,,35
Add Atrributes and Description  https://docs.google.com/spreadsheets/d/1zFQ63OTB2YItKs2GQnpo6R_o7GGAvdL9/edit?usp=sharing&ouid=114662850596974252574&rtpof=true&sd=true,,35
"Pls remove permission of HRMS Module  for Employee Code - 72144, USer ID - Shahrukh72144  Tester - Vipin, Laima",,50
"BRV/24-25/459, BRV/24-25/460  ye BRV m SL Code - D0013 ke Invoices - GST/24-25/896, GST/24-25/871 Knock Off tab me show nhi kar rahe PFA Tester - Vipin, Laima",,50
"SKU / FINISH GOOD NOT COMING , ALERT SHOWING NO MATCH   & EXCEPTION THROW GIVEN BELOW.    Simple Service Error on: {0} Value cannot be null. Parameter name: source at System.Linq.Enumerable.Where[TSource](IEnumerable`1 source, Func`2 predicate) at ProductionPlan.GetitemtxtskuFinish(String keyword)  ",,80
ADD FIELD ITEM DESCRIPTION ,,35
ADD FIELD ITEM DESCRIPTION  https://docs.google.com/spreadsheets/d/1PhW5s51fFl0Jlog83qcxoP3OrVVCaF-c/edit?usp=sharing&ouid=114662850596974252574&rtpof=true&sd=true,,35
Create Hidden Filed Insert Values From Item Desciption    https://docs.google.com/spreadsheets/d/1InKXGWooCq-dmuA9RVlD6A1BtOO5f-TW/edit?usp=sharing&ouid=114662850596974252574&rtpof=true&sd=true,,50
Create Hidden Filed Insert Values From Item Desciption    https://docs.google.com/spreadsheets/d/1FCieVmDDZFHy4ljC1qsrf2TFOexlsqdZ/edit?usp=sharing&ouid=114662850596974252574&rtpof=true&sd=true,,50
ATTENDANCE WORKING SLOW.  ,,60
"Item Bom SRNO - 201660 is not showing on doing Item Bom Amendment MFG pls show the data Tester  - Vipin, Laima",,50
"SO/24-25/217 is sales order ko update voucher status se closed karte hai to  voucher closed ho jata hai but So Status-So No Wise report me balace qty show karta hai Customer code - D0008, SO/24-25/217 Tester - Vipin, Laima",,35
INVOICE NO. JWI/24-25/2069  BALANCE AMOUNT SHOWING WRONG.  PLS CHECK ,,50
ITEMS ARE GETTING CREATE WITH SAME SKU (BY PUTTING MANUALLY) WHICH ARE AUTO CREATE ALREADY .SKU- 332797,,50
SR NO. 201899531  STORE ISSUE NOT GETTING SAVE.  STORE ISSUE NO  IR/24-25/7447 NOT GETTING APPROVE.  ,,50
REPORT DOES NOT WORKING PROPERLY AS DISCUSSED.  CURRENT PENDING PROCESS NOT SHOWING     PO- PO/2425/1453  ,,90
SALE INVOICE NO. PEPL/24-25/664  transport name  old - npk agro products llp    new karna hai  NPK SHIPPING AND LOGISTICS LLP  ,,50
INWARD NO. 201814616  DATA NOT SHOWING PLS CHECK,,50
Add Atrributes and Description,,35
 DNSO/24-25/2703  STOCK GETTING COPY IN ANOTHER ROW.PLS CHECK,,50
GST/24-25/967 in Post Transaction Tab pls remove Transporter ID and Transporter ID should be blank for this changes approval from sidharth sir PFA Tester - Vipin,,35
https://docs.google.com/spreadsheets/d/1lFknbSFNEbOGX3rhwIXXmsgN4onCFXQU/edit?gid=124369026#gid=124369026,,50
https://docs.google.com/spreadsheets/d/1ylnlRVjDr6U2odDblr3DkASCH81mM-qa/edit?gid=1710409230#gid=1710409230,,50
https://docs.google.com/spreadsheets/d/1u33NjVP9JeC_54sue0_jrLvNgl33DEhu/edit?gid=97494291#gid=97494291,,50
https://docs.google.com/spreadsheets/d/1hckYcfTbm1DANYyZSvmp0Q4QSw6mc0-J/edit?gid=509873539#gid=509873539,,50
https://docs.google.com/spreadsheets/d/1dzsrzjpCgb8Ep_5owBxuoO2wEDpnyxoF/edit?gid=1555179994#gid=1555179994,,50
"SKU - VVE-88-P80(HT), VVE-88-P80(HT), 785892-P80(HT),  is not showing in Production plan Tester - Vipin, Laima",,50
"Ticket - 2024860, pls change title - Project ID - P63, Improvement (Production plan) and Type - Improvement, Defect type - Software Improvement Tester - Vipin, Laima",,35
https://docs.google.com/spreadsheets/d/1XDjJGnBsvgbEyJknpih9RRWhO4mqR6_B/edit?gid=2094024755#gid=2094024755,,50
https://docs.google.com/spreadsheets/d/1XqXjUGDDyjssddCROItLFvKrT9uhTC3a/edit?gid=1657393243#gid=1657393243,,50
https://docs.google.com/spreadsheets/d/1Dhj96SbdRSkcR4klEOtoUXHVSrUr0Gtb/edit?gid=1966136830#gid=1966136830,,50
https://docs.google.com/spreadsheets/d/1H0wekaSMzStFSQcA7mRmVDdxytuiLlKw/edit?gid=654623984#gid=654623984,,50
https://docs.google.com/spreadsheets/d/1Mbij4yFq6vN1ZLTUjodWsMuDng5_TD9H/edit?gid=802937694#gid=802937694,,50
https://docs.google.com/spreadsheets/d/15qz0yVlgckCbHhr2xwinBVTHEJYdya5r/edit?gid=1133361064#gid=1133361064,,50
https://docs.google.com/spreadsheets/d/1QIe3F9ptF0pO5U2CnlWtgJ0xFZE9mp3t/edit?gid=75902507#gid=75902507,,50
https://docs.google.com/spreadsheets/d/19OysOgQ4UrICNQ9K1paEuyYDnzlbt2GZ/edit?gid=1294879872#gid=1294879872,,50
Supplier bill no. SBMRN/24-25/403 vendor aging report me balance amount is showing correct but while doing new manual knock off amount is showing wrong  Party name- Natraj Indance,,50
72139 Pradeep   Account   Store executive hai inki permissions remove karni hai,,50
"ADD HIDDEN FIELD ITEM DESCRIPTIONID  TESTER- VIPIN, LAIMA",,35
